epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,28913.7,1.38653,0.99742,0.01068,0.6901,0.58381,0.63381,0.34678,1.77478,1.70293,0.01495,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,29462.3,1.37234,0.9789,0.0105,0.69015,0.58337,0.63298,0.34724,1.77817,1.70269,0.01498,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,30010.3,1.36612,0.97404,0.01043,0.69804,0.57937,0.63333,0.34743,1.77954,1.70618,0.015,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,30557.4,1.35723,0.96224,0.01036,0.70092,0.57999,0.6334,0.34725,1.77963,1.71107,0.01499,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,31108.1,1.33698,0.94565,0.01017,0.69647,0.58334,0.63358,0.34722,1.78203,1.71458,0.01504,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,31659.1,1.32703,0.91968,0.01016,0.69744,0.58414,0.63473,0.34764,1.78507,1.71526,0.01507,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,32209.6,1.31399,0.91623,0.00992,0.69453,0.58418,0.63346,0.3476,1.78331,1.72298,0.01505,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,32760.3,1.29732,0.90192,0.00979,0.69284,0.58296,0.63264,0.34785,1.78313,1.73001,0.01502,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,33310.4,1.29363,0.88657,0.00974,0.6893,0.58854,0.63289,0.3479,1.787,1.73244,0.01507,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,33859.9,1.2827,0.87855,0.00958,0.69385,0.58445,0.63261,0.34782,1.78991,1.73689,0.01509,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,34408.9,1.26661,0.85959,0.00953,0.69361,0.58302,0.63257,0.34818,1.79027,1.74627,0.01512,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,34957.2,1.2527,0.85247,0.0093,0.69818,0.58092,0.63256,0.34849,1.7906,1.75445,0.01514,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,35505.7,1.23604,0.82603,0.00921,0.69465,0.58556,0.63321,0.34855,1.79037,1.76489,0.01513,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,36054.3,1.23154,0.81869,0.00918,0.6993,0.58171,0.63354,0.34813,1.79316,1.76878,0.01516,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
